"ID" "length" "ENSEMBL"
"36" "1700006A11Rik" 1624 "ENSMUSG00000027973"
"37" "1700007K13Rik" 501 "ENSMUSG00000026831"
"38" "1700008O03Rik" 586 "ENSMUSG00000008028"
"39" "1700008P02Rik" 525 "ENSMUSG00000069118"
"40" "1700009N14Rik" 650 "ENSMUSG00000028287"
"41" "1700010B08Rik" 306 "ENSMUSG00000057047"
"42" "1700010D01Rik" 352 "ENSMUSG00000071721"
"43" "1700010I14Rik" 1589 "ENSMUSG00000023873"
"44" "1700011L22Rik" 621 "ENSMUSG00000031682"
"45" "1700012A03Rik" 391 "ENSMUSG00000029766"
"46" "1700012B07Rik" 825 "ENSMUSG00000020617"
"47" "1700012B09Rik" 362 "ENSMUSG00000031927"
"48" "1700012P22Rik" 587 "ENSMUSG00000028589"
"49" "1700013F07Rik" 502 "ENSMUSG00000027886"
"50" "1700013G24Rik" 860 "ENSMUSG00000041399"
"51" "1700013H16Rik" 868 "ENSMUSG00000054727"
"52" "1700015G11Rik" 200 "ENSMUSG00000094445"
"53" "1700016C15Rik" 434 "ENSMUSG00000015962"
"54" "1700016D06Rik" 495 "ENSMUSG00000031509"
"55" "1700016H13Rik" 351 "ENSMUSG00000029320"
"56" "1700016K19Rik" 685 "ENSMUSG00000053783"
"57" "1700017B05Rik" 3070 "ENSMUSG00000032300"
"58" "1700017N19Rik" 1236 "ENSMUSG00000056912"
"59" "1700018B08Rik" 635 "ENSMUSG00000031809"
"60" "1700018F24Rik" 940 "ENSMUSG00000029620"
"61" "1700019A02Rik" 432 "ENSMUSG00000060715"
"62" "1700019D03Rik" 320 "ENSMUSG00000043629"
"63" "1700019N19Rik" 708 "ENSMUSG00000026931"
"64" "1700020A23Rik" 394 "ENSMUSG00000027409"
"65" "1700020D05Rik" 884 "ENSMUSG00000100937"
"66" "1700020L24Rik" 567 "ENSMUSG00000035085"
"67" "1700020N15Rik" 337 "ENSMUSG00000059690"
"68" "1700021F07Rik" 407 "ENSMUSG00000027518"
"69" "1700022I11Rik" 3550 "ENSMUSG00000028451"
"70" "1700024G13Rik" 279 "ENSMUSG00000072473"
"71" "1700025G04Rik" 361 "ENSMUSG00000032666"
"72" "1700028K03Rik" 550 "ENSMUSG00000089798"
"73" "1700028P14Rik" 681 "ENSMUSG00000033053"
"74" "1700029F12Rik" 441 "ENSMUSG00000052075"
"75" "1700029H14Rik" 706 "ENSMUSG00000031452"
"76" "1700029I15Rik" 297 "ENSMUSG00000044916"
"77" "1700029J07Rik" 944 "ENSMUSG00000071103"
"78" "1700029P11Rik" 452 "ENSMUSG00000061633"
"79" "1700030J22Rik" 1228 "ENSMUSG00000031847"
"80" "1700030K09Rik" 1919 "ENSMUSG00000052794"
"81" "1700031F05Rik" 570 "ENSMUSG00000032894"
"82" "1700034E13Rik" 325 "ENSMUSG00000024532"
"83" "1700034I23Rik" 554 "ENSMUSG00000074619"
"84" "1700034J05Rik" 904 "ENSMUSG00000040163"
"85" "1700037C18Rik" 513 "ENSMUSG00000005983"
"86" "1700037H04Rik" 529 "ENSMUSG00000027327"
"87" "1700042G07Rik" 271 "ENSMUSG00000078593"
"88" "1700049E17Rik1" 593 "ENSMUSG00000079271"
"89" "1700049E17Rik1" 593 "ENSMUSG00000090440"
"90" "1700049E17Rik2" 593 "ENSMUSG00000090440"
"91" "1700049E17Rik2" 593 "ENSMUSG00000079271"
"92" "1700056E22Rik" 704 "ENSMUSG00000044854"
"93" "1700057G04Rik" 693 "ENSMUSG00000074139"
"94" "1700066B19Rik" 382 "ENSMUSG00000073598"
"95" "1700066M21Rik" 1096 "ENSMUSG00000038323"
"96" "1700067K01Rik" 897 "ENSMUSG00000046408"
"97" "1700074P13Rik" 751 "ENSMUSG00000029883"
"98" "1700080O16Rik" 854 "ENSMUSG00000031118"
"99" "1700088E04Rik" 645 "ENSMUSG00000033029"
"100" "1700092M07Rik" 259 "ENSMUSG00000090840"
"101" "1700094D03Rik" 302 "ENSMUSG00000027942"
"102" "1700094D03Rik" 302 "ENSMUSG00000118506"
"103" "1700102P08Rik" 756 "ENSMUSG00000032611"
"104" "1700109H08Rik" 627 "ENSMUSG00000008307"
"105" "1700113H08Rik" 979 "ENSMUSG00000047129"
"106" "1700122O11Rik" 723 "ENSMUSG00000094928"
"107" "1700122O11Rik" 723 "ENSMUSG00000116059"
"108" "1700123K08Rik" 882 "ENSMUSG00000029526"
"109" "1700123O20Rik" 428 "ENSMUSG00000040822"
"110" "1700125H20Rik" 705 "ENSMUSG00000018479"
"111" "1700129C05Rik" 652 "ENSMUSG00000021977"
"112" "1810009A15Rik" 368 "ENSMUSG00000071653"
"113" "1810009J06Rik" 739 "ENSMUSG00000094808"
"114" "1810010H24Rik" 337 "ENSMUSG00000078607"
"115" "1810013L24Rik" 824 "ENSMUSG00000022507"
"116" "1810024B03Rik" 602 "ENSMUSG00000044145"
"117" "1810030O07Rik" 957 "ENSMUSG00000044148"
"118" "1810037I17Rik" 196 "ENSMUSG00000054091"
"119" "1810046K07Rik" 859 "ENSMUSG00000036027"
"120" "1810055G02Rik" 1177 "ENSMUSG00000035372"
"121" "1810062G17Rik" 387 "ENSMUSG00000027713"
"122" "1810065E05Rik" 703 "ENSMUSG00000013653"
"123" "2010003K11Rik" 373 "ENSMUSG00000042041"
"124" "2010106E10Rik" 833 "ENSMUSG00000025528"
"125" "2010109A12Rik" 357 "ENSMUSG00000029384"
"126" "2010315B03Rik" 1298 "ENSMUSG00000074829"
"127" "2010315B03Rik" 1298 "ENSMUSG00000098810"
"128" "2200002D01Rik" 341 "ENSMUSG00000030587"
"129" "2200002J24Rik" 331 "ENSMUSG00000013083"
"130" "2210010C04Rik" 739 "ENSMUSG00000029882"
"131" "2210016F16Rik" 1013 "ENSMUSG00000021550"
"132" "2210016L21Rik" 765 "ENSMUSG00000029559"
"133" "2210407C18Rik" 658 "ENSMUSG00000037145"
"134" "2210408I21Rik" 3800 "ENSMUSG00000071252"
"135" "2210418O10Rik" 401 "ENSMUSG00000078894"
"136" "2300002M23Rik" 1048 "ENSMUSG00000039269"
"137" "2300003K06Rik" 788 "ENSMUSG00000078257"
"138" "2300009A05Rik" 472 "ENSMUSG00000032403"
"139" "2310002L09Rik" 652 "ENSMUSG00000028396"
"140" "2310009B15Rik" 408 "ENSMUSG00000079283"
"141" "2310011J03Rik" 328 "ENSMUSG00000020133"
"142" "2310022A10Rik" 1233 "ENSMUSG00000049643"
"143" "2310022B05Rik" 965 "ENSMUSG00000031983"
"144" "2310033P09Rik" 776 "ENSMUSG00000020441"
"145" "2310034C09Rik" 644 "ENSMUSG00000068078"
"146" "2310039H08Rik" 344 "ENSMUSG00000062619"
"147" "2310050C09Rik" 842 "ENSMUSG00000090314"
"148" "2310057J18Rik" 1008 "ENSMUSG00000015519"
"149" "2310057M21Rik" 1329 "ENSMUSG00000040177"
"150" "2310057N15Rik" 602 "ENSMUSG00000048830"
"151" "2310061I04Rik" 942 "ENSMUSG00000050705"
"152" "2310061N02Rik" 524 "ENSMUSG00000050704"
"153" "2310079G19Rik" 557 "ENSMUSG00000045331"
"154" "2410002F23Rik" 854 "ENSMUSG00000045411"
"155" "2410004B18Rik" 540 "ENSMUSG00000036873"
"156" "2410004P03Rik" 615 "ENSMUSG00000071398"
"157" "2410124H12Rik" 369 "ENSMUSG00000051297"
"158" "2410131K14Rik" 613 "ENSMUSG00000032840"
"159" "2410137M14Rik" 485 "ENSMUSG00000064308"
"160" "2410141K09Rik" 1391 "ENSMUSG00000074832"
"161" "2510002D24Rik" 315 "ENSMUSG00000071632"
"162" "2510009E07Rik" 745 "ENSMUSG00000043391"
"163" "2510039O18Rik" 1902 "ENSMUSG00000044496"
"164" "2610001J05Rik" 179 "ENSMUSG00000052419"
"165" "2610002M06Rik" 592 "ENSMUSG00000031242"
"166" "2610008E11Rik" 2004 "ENSMUSG00000060301"
"167" "2610028H24Rik" 806 "ENSMUSG00000009114"
"168" "2610042L04Rik" 449 "ENSMUSG00000079388"
"169" "2610044O15Rik8" 262 "ENSMUSG00000071302"
"170" "2610301B20Rik" 624 "ENSMUSG00000059482"
"171" "2610318N02Rik" 912 "ENSMUSG00000049916"
"172" "2610507B11Rik" 6666 "ENSMUSG00000010277"
"173" "2610524H06Rik" 418 "ENSMUSG00000072694"
"174" "2610528A11Rik" 234 "ENSMUSG00000096001"
"175" "2610528J11Rik" 334 "ENSMUSG00000028536"
"176" "2700049A03Rik" 4533 "ENSMUSG00000034601"
"177" "2700062C07Rik" 649 "ENSMUSG00000024273"
"178" "2700081O15Rik" 2032 "ENSMUSG00000053080"
"179" "2700097O09Rik" 898 "ENSMUSG00000062198"
"180" "2810004N23Rik" 839 "ENSMUSG00000031984"
"181" "2810006K23Rik" 553 "ENSMUSG00000047635"
"182" "2810021J22Rik" 1616 "ENSMUSG00000020491"
"183" "2810408A11Rik" 1299 "ENSMUSG00000018570"
"184" "2810459M11Rik" 861 "ENSMUSG00000026227"
"185" "2900026A02Rik" 1151 "ENSMUSG00000051339"
"186" "2900092C05Rik" 549 "ENSMUSG00000030385"
"187" "3110009E18Rik" 376 "ENSMUSG00000026388"
"188" "3110040M04Rik" 902 "ENSMUSG00000114582"
"189" "3110040N11Rik" 377 "ENSMUSG00000025102"
"190" "3110082I17Rik" 584 "ENSMUSG00000053553"
"191" "3110082J24Rik" 325 "ENSMUSG00000086815"
"192" "3300002I08Rik" 440 "ENSMUSG00000063364"
"193" "3425401B19Rik" 4238 "ENSMUSG00000071540"
"194" "3830403N18Rik" 620 "ENSMUSG00000031125"
"195" "3830406C13Rik" 380 "ENSMUSG00000033111"
"196" "3830406C13Rik" 380 "ENSMUSG00000114378"
"197" "3830417A13Rik" 911 "ENSMUSG00000031179"
"198" "4430402I18Rik" 1033 "ENSMUSG00000064202"
"199" "4833420G17Rik" 1908 "ENSMUSG00000062822"
"200" "4833427G06Rik" 501 "ENSMUSG00000032057"
"201" "4833439L19Rik" 905 "ENSMUSG00000025871"
"202" "4921504E06Rik" 1666 "ENSMUSG00000026734"
"203" "4921507P07Rik" 1758 "ENSMUSG00000029828"
"204" "4921509C19Rik" 1921 "ENSMUSG00000061525"
"205" "4921517D22Rik" 807 "ENSMUSG00000049902"
"206" "4921524J17Rik" 461 "ENSMUSG00000036934"
"207" "4921524L21Rik" 1308 "ENSMUSG00000039540"
"208" "4921536K21Rik" 504 "ENSMUSG00000020434"
"209" "4921539E11Rik" 1333 "ENSMUSG00000028520"
"210" "4930402F06Rik" 994 "ENSMUSG00000079421"
"211" "4930402H24Rik" 3503 "ENSMUSG00000027309"
"212" "4930402K13Rik" 1247 "ENSMUSG00000045797"
"213" "4930404N11Rik" 617 "ENSMUSG00000020234"
"214" "4930407I10Rik" 4537 "ENSMUSG00000075524"
"215" "4930415L06Rik" 2441 "ENSMUSG00000035387"
"216" "4930415O20Rik" 392 "ENSMUSG00000022993"
"217" "4930430F08Rik" 977 "ENSMUSG00000046567"
"218" "4930432K21Rik" 1795 "ENSMUSG00000008129"
"219" "4930432M17Rik" 520 "ENSMUSG00000074248"
"220" "4930433I11Rik" 1897 "ENSMUSG00000091692"
"221" "4930438A08Rik" 1604 "ENSMUSG00000069873"
"222" "4930444G20Rik" 1487 "ENSMUSG00000069712"
"223" "4930444P10Rik" 461 "ENSMUSG00000067795"
"224" "4930447A16Rik" 395 "ENSMUSG00000022288"
"225" "4930447C04Rik" 1708 "ENSMUSG00000021098"
"226" "4930449I24Rik" 955 "ENSMUSG00000079093"
"227" "4930451I11Rik" 332 "ENSMUSG00000045989"
"228" "4930453N24Rik" 1044 "ENSMUSG00000059920"
"229" "4930467E23Rik" 1043 "ENSMUSG00000096265"
"230" "4930474N05Rik" 654 "ENSMUSG00000096405"
"231" "4930480E11Rik" 1184 "ENSMUSG00000035651"
"232" "4930486L24Rik" 995 "ENSMUSG00000050345"
"233" "4930503B20Rik" 703 "ENSMUSG00000048652"
"234" "4930503B20Rik" 703 "ENSMUSG00000090202"
"235" "4930503E14Rik" 530 "ENSMUSG00000072595"
"236" "4930503L19Rik" 1574 "ENSMUSG00000044906"
"237" "4930505A04Rik" 697 "ENSMUSG00000040919"
"238" "4930512M02Rik" 653 "ENSMUSG00000062511"
"239" "4930513O06Rik" 484 "ENSMUSG00000031270"
"240" "4930519G04Rik" 609 "ENSMUSG00000029564"
"241" "4930522H14Rik" 688 "ENSMUSG00000060491"
"242" "4930523C07Rik" 299 "ENSMUSG00000090394"
"243" "4930524B15Rik" 494 "ENSMUSG00000020299"
"244" "4930544D05Rik" 512 "ENSMUSG00000087279"
"245" "4930544G11Rik" 581 "ENSMUSG00000036463"
"246" "4930548H24Rik" 1312 "ENSMUSG00000029138"
"247" "4930550C14Rik" 940 "ENSMUSG00000005131"
"248" "4930550L24Rik" 962 "ENSMUSG00000046180"
"249" "4930555G01Rik" 613 "ENSMUSG00000096197"
"250" "4930558K02Rik" 542 "ENSMUSG00000086277"
"251" "4930562C15Rik" 3422 "ENSMUSG00000022518"
"252" "4930563E22Rik" 389 "ENSMUSG00000053574"
"253" "4930563M21Rik" 586 "ENSMUSG00000050702"
"254" "4930564D02Rik" 310 "ENSMUSG00000051788"
"255" "4930567H17Rik" 701 "ENSMUSG00000073141"
"256" "4930568D16Rik" 955 "ENSMUSG00000026882"
"257" "4930571K23Rik" 458 "ENSMUSG00000090457"
"258" "4930578I06Rik" 893 "ENSMUSG00000021961"
"259" "4930579F01Rik" 970 "ENSMUSG00000012042"
"260" "4930579G24Rik" 334 "ENSMUSG00000027811"
"261" "4930583I09Rik" 306 "ENSMUSG00000024088"
"262" "4930590J08Rik" 2785 "ENSMUSG00000034063"
"263" "4930595M18Rik" 2486 "ENSMUSG00000060673"
"264" "4930596D02Rik" 648 "ENSMUSG00000041068"
"265" "4931406B18Rik" 1098 "ENSMUSG00000013353"
"266" "4931406C07Rik" 940 "ENSMUSG00000031938"
"267" "4931408C20Rik" 4144 "ENSMUSG00000073722"
"268" "4931414P19Rik" 1620 "ENSMUSG00000022179"
"269" "4931417E11Rik" 917 "ENSMUSG00000056197"
"270" "4931422A03Rik" 338 "ENSMUSG00000046085"
"271" "4931428F04Rik" 1398 "ENSMUSG00000014837"
"272" "4931429L15Rik" 1131 "ENSMUSG00000056617"
"273" "4932411N23Rik" 1412 "ENSMUSG00000058670"
"274" "4932414N04Rik" 2243 "ENSMUSG00000079324"
"275" "4932415M13Rik" 1199 "ENSMUSG00000062036"
"276" "4932429P05Rik" 2357 "ENSMUSG00000079513"
"277" "4932431P20Rik" 1007 "ENSMUSG00000074224"
"278" "4932438A13Rik" 14934 "ENSMUSG00000037270"
"279" "4933402D24Rik" 501 "ENSMUSG00000025961"
"280" "4933402E13Rik" 1289 "ENSMUSG00000045330"
"281" "4933402J07Rik" 807 "ENSMUSG00000069971"
"282" "4933402N03Rik" 987 "ENSMUSG00000013668"
"283" "4933402N22Rik" 470 "ENSMUSG00000067848"
"284" "4933403O08Rik" 1138 "ENSMUSG00000079460"
"285" "4933405L10Rik" 920 "ENSMUSG00000013158"
"286" "4933405O20Rik" 1190 "ENSMUSG00000084234"
"287" "4933409G03Rik" 949 "ENSMUSG00000053896"
"288" "4933411K16Rik" 914 "ENSMUSG00000090369"
"289" "4933412E24Rik" 1541 "ENSMUSG00000071749"
"290" "4933417A18Rik" 679 "ENSMUSG00000021415"
"291" "4933421I07Rik" 641 "ENSMUSG00000030463"
"292" "4933427D06Rik" 610 "ENSMUSG00000055403"
"293" "4933427D14Rik" 2862 "ENSMUSG00000020807"
"294" "4933427D14Rik" 2862 "ENSMUSG00000107877"
"295" "4933428G20Rik" 304 "ENSMUSG00000047988"
"296" "4933428M09Rik" 577 "ENSMUSG00000042525"
"297" "4933430I17Rik" 1474 "ENSMUSG00000058046"
"298" "4933434E20Rik" 755 "ENSMUSG00000027942"
"299" "4933436I01Rik" 1288 "ENSMUSG00000025288"
"300" "5031410I06Rik" 799 "ENSMUSG00000051940"
"301" "5031439G07Rik" 1205 "ENSMUSG00000036046"
"302" "5430401F13Rik" 523 "ENSMUSG00000094113"
"303" "5430402E10Rik" 516 "ENSMUSG00000044121"
"304" "5430427O19Rik" 896 "ENSMUSG00000025058"
"305" "5530400C23Rik" 519 "ENSMUSG00000055594"
"306" "5730409E04Rik" 692 "ENSMUSG00000073755"
"307" "5730455P16Rik" 1172 "ENSMUSG00000057181"
"308" "5730507C01Rik" 1247 "ENSMUSG00000073197"
"309" "5830411N06Rik" 3323 "ENSMUSG00000054672"
"310" "6030458C11Rik" 1320 "ENSMUSG00000022195"
"311" "6030468B19Rik" 753 "ENSMUSG00000025573"
"312" "6030498E09Rik" 508 "ENSMUSG00000051361"
"313" "6330403K07Rik" 365 "ENSMUSG00000018451"
"314" "6330409D20Rik" 486 "ENSMUSG00000009551"
"315" "6430548M08Rik" 1212 "ENSMUSG00000031824"
"316" "6430550D23Rik" 581 "ENSMUSG00000074646"
"317" "6430571L13Rik" 491 "ENSMUSG00000037977"
"318" "6430628N08Rik" 533 "ENSMUSG00000034185"
"319" "6720489N17Rik" 318 "ENSMUSG00000072066"
"320" "6820408C15Rik" 1054 "ENSMUSG00000032680"
"321" "7420426K07Rik" 560 "ENSMUSG00000074123"
"322" "7530416G11Rik" 477 "ENSMUSG00000096607"
"323" "8030423J24Rik" 427 "ENSMUSG00000021600"
"324" "8030462N17Rik" 1196 "ENSMUSG00000047466"
"325" "8030462N17Rik" 1196 "ENSMUSG00000116473"
"326" "8030474K03Rik" 1636 "ENSMUSG00000046774"
"327" "9030025P20Rik" 1305 "ENSMUSG00000116953"
"328" "9030612E09Rik" 422 "ENSMUSG00000045008"
"329" "9030619P08Rik" 147 "ENSMUSG00000053168"
"330" "9030624G23Rik" 464 "ENSMUSG00000073158"
"331" "9130008F23Rik" 545 "ENSMUSG00000054951"
"332" "9130019O22Rik" 1629 "ENSMUSG00000030823"
"333" "9130023H24Rik" 1013 "ENSMUSG00000062944"
"334" "9130401M01Rik" 1113 "ENSMUSG00000101892"
"335" "9130401M01Rik" 1113 "ENSMUSG00000116094"
"336" "9130409I23Rik" 960 "ENSMUSG00000038768"
"337" "9230112D13Rik" 411 "ENSMUSG00000021797"
"338" "9330159F19Rik" 1942 "ENSMUSG00000004360"
"339" "9330182O14Rik" 420 "ENSMUSG00000094112"
"340" "9430015G10Rik" 592 "ENSMUSG00000059939"
"341" "9430038I01Rik" 320 "ENSMUSG00000040139"
"342" "9430069I07Rik" 333 "ENSMUSG00000094447"
"343" "9530002B09Rik" 404 "ENSMUSG00000023263"
"344" "9530003J23Rik" 452 "ENSMUSG00000020177"
"345" "9530053A07Rik" 7727 "ENSMUSG00000078776"
"346" "9530068E07Rik" 777 "ENSMUSG00000036275"
"347" "9530077C05Rik" 1553 "ENSMUSG00000036411"
"348" "9830107B12Rik" 593 "ENSMUSG00000073386"
"349" "9830107B12Rik" 593 "ENSMUSG00000115865"
"350" "9930012K11Rik" 1094 "ENSMUSG00000044551"
"351" "9930104L06Rik" 650 "ENSMUSG00000044730"
"352" "9930111J21Rik1" 2533 "ENSMUSG00000069893"
"353" "9930111J21Rik2" 1403 "ENSMUSG00000069892"
"354" "A130010J15Rik" 791 "ENSMUSG00000079144"
"355" "A1bg" 1532 "ENSMUSG00000022347"
"356" "A1cf" 1777 "ENSMUSG00000052595"
"357" "A26c3" 1442 "ENSMUSG00000027157"
"358" "A2m" 4389 "ENSMUSG00000030111"
"359" "A2ml1" 4336 "ENSMUSG00000047228"
"360" "A330070K13Rik" 345 "ENSMUSG00000052014"
"361" "A3galt2" 1108 "ENSMUSG00000028794"
"362" "A430005L14Rik" 689 "ENSMUSG00000047613"
"363" "A430033K04Rik" 2003 "ENSMUSG00000056014"
"364" "A430089I19Rik" 1221 "ENSMUSG00000094560"
"365" "A4gnt" 1024 "ENSMUSG00000037953"
"366" "A530016L24Rik" 494 "ENSMUSG00000043122"
"367" "A530032D15Rik" 629 "ENSMUSG00000089844"
"368" "A530064D06Rik" 686 "ENSMUSG00000043939"
"369" "A530064D06Rik" 686 "ENSMUSG00000116468"
"370" "A630001G21Rik" 685 "ENSMUSG00000052760"
"371" "A630023A22Rik" 596 "ENSMUSG00000095493"
"372" "A630073D07Rik" 301 "ENSMUSG00000067541"
"373" "A630076J17Rik" 321 "ENSMUSG00000094613"
"374" "A630095N17Rik" 348 "ENSMUSG00000096094"
"375" "A730046J19Rik" 269 "ENSMUSG00000085139"
"376" "A830018L16Rik" 1375 "ENSMUSG00000057715"
"377" "A930009A15Rik" 352 "ENSMUSG00000092210"
"378" "A930017K11Rik" 1714 "ENSMUSG00000025727"
"379" "A930018P22Rik" 583 "ENSMUSG00000032671"
"380" "A930033H14Rik" 310 "ENSMUSG00000090622"
"381" "AA467197" 248 "ENSMUSG00000033213"
"382" "AA467197" 248 "ENSMUSG00000110868"
"383" "AA792892" 835 "ENSMUSG00000073497"
"384" "AA986860" 1818 "ENSMUSG00000042510"
"385" "AAdacl4fm3" 1223 "ENSMUSG00000041735"
"386" "AB124611" 674 "ENSMUSG00000057191"
"387" "AF067061" 515 "ENSMUSG00000095071"
"388" "AF067063" 491 "ENSMUSG00000094237"
"389" "AF366264" 1508 "ENSMUSG00000057116"
"390" "AI182371" 1061 "ENSMUSG00000035875"
"391" "AI413582" 305 "ENSMUSG00000062753"
"392" "AI429214" 881 "ENSMUSG00000074384"
"393" "AI467606" 677 "ENSMUSG00000045165"
"394" "AI593442" 599 "ENSMUSG00000078307"
"395" "AI597479" 695 "ENSMUSG00000010290"
"396" "AI661453" 3616 "ENSMUSG00000034382"
"397" "AI837181" 895 "ENSMUSG00000047423"
"398" "AI987944" 1217 "ENSMUSG00000056383"
"399" "AU018091" 2043 "ENSMUSG00000054753"
"400" "AU018091" 2043 "ENSMUSG00000107871"
"401" "AU021092" 1150 "ENSMUSG00000051669"
"402" "AU022252" 595 "ENSMUSG00000078584"
"403" "AU040320" 3235 "ENSMUSG00000028830"
"404" "AU041133" 1493 "ENSMUSG00000078435"
"405" "AV320801" 1400 "ENSMUSG00000054994"
"406" "AW112010" 234 "ENSMUSG00000075010"
"407" "AW146154" 1403 "ENSMUSG00000074166"
"408" "AW209491" 1265 "ENSMUSG00000039182"
"409" "AW549877" 879 "ENSMUSG00000041935"
"410" "AW551984" 2397 "ENSMUSG00000038112"
"411" "AW554918" 585 "ENSMUSG00000033632"
"412" "AY074887" 398 "ENSMUSG00000044820"
"413" "AY358078" 1389 "ENSMUSG00000050961"
"414" "AY761185" 283 "ENSMUSG00000079120"
"415" "Aaas" 1625 "ENSMUSG00000036678"
"416" "Aacs" 2001 "ENSMUSG00000029482"
"417" "Aadac" 1192 "ENSMUSG00000027761"
"418" "Aadacl2" 1201 "ENSMUSG00000091376"
"419" "Aadacl2fm1" 840 "ENSMUSG00000036951"
"420" "Aadacl2fm2" 1201 "ENSMUSG00000090527"
"421" "Aadacl2fm3" 1201 "ENSMUSG00000095522"
"422" "Aadacl3" 1223 "ENSMUSG00000078507"
"423" "Aadacl4" 1220 "ENSMUSG00000070609"
"424" "Aadacl4fm1" 1220 "ENSMUSG00000028593"
"425" "Aadacl4fm2" 1217 "ENSMUSG00000078506"
"426" "Aadacl4fm4" 1220 "ENSMUSG00000078505"
"427" "Aadacl4fm5" 1178 "ENSMUSG00000078504"
"428" "Aadat" 1265 "ENSMUSG00000057228"
"429" "Aagab" 941 "ENSMUSG00000037257"
"430" "Aak1" 2859 "ENSMUSG00000057230"
"431" "Aamdc" 449 "ENSMUSG00000035642"
"432" "Aamp" 1300 "ENSMUSG00000006299"
"433" "Aanat" 615 "ENSMUSG00000020804"
"434" "Aar2" 1152 "ENSMUSG00000027628"
"435" "Aard" 502 "ENSMUSG00000068522"
"436" "Aars" 2887 "ENSMUSG00000031960"
"437" "Aars2" 2921 "ENSMUSG00000023938"
"438" "Aarsd1" 1227 "ENSMUSG00000075528"
"439" "Aasdh" 3289 "ENSMUSG00000055923"
"440" "Aasdhppt" 924 "ENSMUSG00000025894"
"441" "Aass" 2758 "ENSMUSG00000029695"
"442" "Aatf" 1568 "ENSMUSG00000018697"
"443" "Aatk" 4111 "ENSMUSG00000025375"
"444" "Abat" 1488 "ENSMUSG00000057880"
"445" "Abca1" 6737 "ENSMUSG00000015243"
"446" "Abca12" 7735 "ENSMUSG00000050296"
"447" "Abca13" 15043 "ENSMUSG00000004668"
"448" "Abca14" 5022 "ENSMUSG00000062017"
"449" "Abca15" 4977 "ENSMUSG00000054746"
"450" "Abca17" 5172 "ENSMUSG00000035435"
"451" "Abca2" 7254 "ENSMUSG00000026944"
"452" "Abca3" 5085 "ENSMUSG00000024130"
"453" "Abca4" 6883 "ENSMUSG00000028125"
"454" "Abca5" 4891 "ENSMUSG00000018800"
"455" "Abca6" 4837 "ENSMUSG00000044749"
"456" "Abca7" 6458 "ENSMUSG00000035722"
"457" "Abca8a" 4822 "ENSMUSG00000041828"
"458" "Abca8b" 4825 "ENSMUSG00000020620"
"459" "Abca9" 4834 "ENSMUSG00000041797"
"460" "Abcb10" 2135 "ENSMUSG00000031974"
"461" "Abcb11" 3939 "ENSMUSG00000027048"
"462" "Abcb1a" 3804 "ENSMUSG00000040584"
"463" "Abcb1b" 3804 "ENSMUSG00000028970"
"464" "Abcb4" 3804 "ENSMUSG00000042476"
"465" "Abcb5" 3741 "ENSMUSG00000072791"
"466" "Abcb6" 2510 "ENSMUSG00000026198"
"467" "Abcb7" 2243 "ENSMUSG00000031333"
"468" "Abcb8" 2138 "ENSMUSG00000028973"
"469" "Abcb9" 2278 "ENSMUSG00000029408"
"470" "Abcc1" 4556 "ENSMUSG00000023088"
